Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Speed,Max Speed,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg Bike Cadence,Max Bike Cadence,Normalized Power® (NP®),Training Stress Score®,Max Avg Power (20 min),Avg Power,Max Power,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Total Reps,Min Temp,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Indoor Cycling,2024-05-21 15:56:44,false,"Threshold","28,45","722","00:59:07","138","161","3,3","28,9","34,2","--","--","NaN","NaN","NaN","NaN","79","97","194","49,3","207","176","245","NaN","NaN","4727","NaN","NaN","NaN","29,0","No","00:00:06,8","8","32,0","28","19","36","00:59:01","00:59:07","--","--"
Road Cycling,2024-05-19 09:54:09,false,"Silkeborg Cykling på vej","76,07","1.356","02:42:37","137","157","--","28,1","45,5","361","360","NaN","NaN","NaN","NaN","--","--","--","0,0","--","--","--","NaN","NaN","--","NaN","NaN","NaN","20,0","No","02:42:37","1","28,0","--","--","--","02:42:22","02:46:36","44","95"
Road Cycling,2024-05-15 09:42:46,false,"Silkeborg Cykling på vej","54,25","1.218","02:03:06","144","176","--","26,4","62,4","553","546","NaN","NaN","NaN","NaN","--","--","--","0,0","--","--","--","NaN","NaN","--","NaN","NaN","NaN","19,0","No","02:03:06","1","26,0","--","--","--","02:02:47","02:05:21","20","127"
Road Cycling,2024-05-12 13:03:26,false,"Silkeborg Cykling på vej","54,87","1.168","02:02:00","140","170","--","27,0","62,5","577","568","NaN","NaN","NaN","NaN","--","--","--","0,0","--","--","--","NaN","NaN","--","NaN","NaN","NaN","18,0","No","02:02:00","1","26,0","--","--","--","02:01:40","02:04:48","18","127"
Road Cycling,2024-05-09 13:19:40,false,"Silkeborg Cykling på vej","58,23","1.386","02:00:59","151","179","--","28,9","67,0","477","473","NaN","NaN","NaN","NaN","--","--","--","0,0","--","--","--","NaN","NaN","--","NaN","NaN","NaN","14,0","No","02:00:59","1","24,0","--","--","--","02:00:55","02:01:42","22","119"
Road Cycling,2024-05-07 14:32:45,false,"Silkeborg Cykling på vej","53,90","1.125","01:45:27","146","172","--","30,7","45,5","197","217","NaN","NaN","NaN","NaN","--","--","--","0,0","--","--","--","NaN","NaN","--","NaN","NaN","NaN","16,0","No","01:45:27","1","25,0","--","--","--","01:45:15","01:48:53","47","98"
Road Cycling,2024-05-04 13:54:17,false,"Silkeborg Cykling på vej","107,80","2.215","03:59:11","141","165","--","27,0","65,1","931","932","NaN","NaN","NaN","NaN","--","--","--","0,0","--","--","--","NaN","NaN","--","NaN","NaN","NaN","13,0","No","01:51:55","2","25,0","--","--","--","03:58:45","04:15:33","19","127"
Road Cycling,2024-05-03 13:57:56,false,"Silkeborg Cykling på vej","49,40","1.217","01:47:09","149","185","--","27,7","63,2","457","460","NaN","NaN","NaN","NaN","--","--","--","0,0","--","--","--","NaN","NaN","--","NaN","NaN","NaN","19,0","No","01:47:09","1","28,0","--","--","--","01:46:00","01:58:33","19","125"
Road Cycling,2024-05-01 10:53:09,false,"Silkeborg Cykling på vej","57,49","1.362","02:04:50","146","181","--","27,6","61,1","474","473","NaN","NaN","NaN","NaN","--","--","--","0,0","--","--","--","NaN","NaN","--","NaN","NaN","NaN","18,0","No","02:04:50","1","24,0","--","--","--","02:04:45","02:05:35","23","116"
Road Cycling,2024-04-29 14:33:12,false,"Silkeborg Cykling på vej (intervaller)","49,64","1.253","01:49:57","150","186","--","27,1","63,7","477","476","NaN","NaN","NaN","NaN","--","--","--","0,0","--","--","--","NaN","NaN","--","NaN","NaN","NaN","16,0","No","00:02:00,5","8","24,0","--","--","--","01:49:34","01:55:39","18","125"
Road Cycling,2024-04-28 10:45:20,false,"Silkeborg Cykling på vej","49,37","883","02:22:04","112","172","--","20,9","40,4","474","474","NaN","NaN","NaN","NaN","--","--","--","0,0","--","--","--","NaN","NaN","--","NaN","NaN","NaN","16,0","No","02:22:04","1","25,0","--","--","--","02:21:26","02:36:28","19","125"
Road Cycling,2024-04-27 09:09:36,false,"Silkeborg Cykling på vej","81,91","1.816","03:09:26","141","176","--","25,9","63,7","881","879","NaN","NaN","NaN","NaN","--","--","--","0,0","--","--","--","NaN","NaN","--","NaN","NaN","NaN","5,0","No","03:09:26","1","20,0","--","--","--","03:08:52","03:26:12","16","165"
Indoor Cycling,2024-04-25 11:35:19,false,"LTHR + Max HR test","26,93","774","00:57:30","149","194","--","28,1","43,3","--","--","NaN","NaN","NaN","NaN","83","113","242","74,6","266","197","525","NaN","NaN","4750","NaN","NaN","NaN","17,0","No","00:00:55,1","5","24,0","--","--","--","00:56:39","00:57:32","--","--"
Road Cycling,2024-04-22 12:42:29,false,"Silkeborg Cykling på vej","58,15","1.423","02:01:21","149","180","--","28,7","61,6","494","492","NaN","NaN","NaN","NaN","--","--","--","0,0","--","--","--","NaN","NaN","--","NaN","NaN","NaN","6,0","No","02:01:21","1","24,0","--","--","--","02:01:14","02:03:29","18","118"
Road Cycling,2024-04-21 09:46:50,false,"Silkeborg Cykling på vej","49,55","1.109","02:07:18","133","184","--","23,4","59,8","492","491","NaN","NaN","NaN","NaN","--","--","--","0,0","--","--","--","NaN","NaN","--","NaN","NaN","NaN","6,0","No","00:01:53,5","7","22,0","--","--","--","02:07:03","02:11:27","20","126"
